datetime,machineID,volt,rotate,pressure,vibration,errorID,failure,comp_maint,age,model
2023-01-01 00:00:00,7,244.36,1532.45,101.74,41.42,none,comp3,none,3,C
2023-01-01 01:00:00,4,212.21,1667.53,109.08,40.19,none,none,none,17,B
2023-01-01 02:00:00,8,211.14,1588.9,99.91,33.33,none,none,none,5,B
2023-01-01 03:00:00,5,227.56,1549.61,104.51,39.39,none,none,none,8,C
2023-01-01 04:00:00,7,258.68,1505.56,108.16,51.39,E2,none,none,14,A
2023-01-01 05:00:00,10,221.62,1506.02,105.67,26.08,none,none,none,4,A
2023-01-01 06:00:00,3,211.67,1356.05,102.86,44.35,E2,none,none,11,D
2023-01-01 07:00:00,7,237.15,1461.65,117.83,45.29,none,none,comp1,15,A
2023-01-01 08:00:00,8,234.36,1588.62,112.42,33.21,none,none,none,19,D
2023-01-01 09:00:00,5,200.97,1476.63,99.14,37.65,none,none,none,7,A
2023-01-01 10:00:00,4,209.28,1504.44,90.9,35.0,none,comp1,none,19,A
2023-01-01 11:00:00,8,241.93,1382.39,106.39,49.27,E3,none,none,19,B
2023-01-01 12:00:00,8,228.56,1544.55,102.16,45.52,none,none,none,11,D
2023-01-01 13:00:00,3,170.61,1353.82,117.09,45.76,E2,none,none,5,A
2023-01-01 14:00:00,6,229.64,1528.99,109.87,40.6,none,comp4,none,5,D
2023-01-01 15:00:00,5,238.53,1481.28,107.64,46.56,E2,none,none,8,B
2023-01-01 16:00:00,2,203.25,1325.67,100.13,39.96,none,none,none,10,B
2023-01-01 17:00:00,8,233.54,1606.95,91.24,46.8,E2,none,none,6,D
2023-01-01 18:00:00,6,257.45,1483.61,98.02,39.26,E1,none,none,15,B
2023-01-01 19:00:00,2,227.93,1686.08,104.77,36.6,none,none,none,16,C
2023-01-01 20:00:00,5,207.49,1647.83,82.7,49.05,none,none,comp4,17,C
2023-01-01 21:00:00,1,209.55,1412.05,112.42,39.9,E2,none,none,8,B
